Item_Identifier,Item_Weight,Item_Type,Item_MRP,Outlet_Identifier,Item_Visibility_sqrt,Item_Outlet_Sales_sqrt,Age_Outlet,Item_Fat_Content_Encoding,Item_Category_Food,Item_Category_Non-Consumable,Outlet_Category_Moderate Outlet,Outlet_Category_Old Outlet,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
FDA15,9.3,Dairy,249.8092,OUT049,0.126677942,61.11577538,25,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DRC01,5.92,Soft Drinks,48.2692,OUT018,0.138846015,21.0576067,15,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
FDN15,17.5,Meat,141.618,OUT049,0.129460708,45.79596052,25,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FDX07,19.2,Fruits and Vegetables,182.095,OUT010,0,27.06252021,26,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NCD19,8.93,Household,53.8614,OUT013,0,31.53894735,37,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FDP36,10.395,Baking Goods,51.4008,OUT018,0,23.59255815,15,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
FDO10,13.65,Snack Foods,57.6588,OUT013,0.112876432,18.53517737,37,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FDP10,19,Snack Foods,107.7622,OUT027,0.35702921,63.42525995,39,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
FDH17,16.2,Frozen Foods,96.9726,OUT045,0.129178613,32.81156199,22,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDU28,19.2,Frozen Foods,187.8214,OUT017,0.30732652,68.63333738,17,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDY07,11.8,Fruits and Vegetables,45.5402,OUT049,0,38.93618625,25,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FDA03,18.5,Dairy,144.1102,OUT046,0.213222356,46.7670076,27,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDX32,15.1,Fruits and Vegetables,145.4786,OUT049,0.316249111,39.86558165,25,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FDS46,17.6,Snack Foods,119.6782,OUT046,0.217387507,46.31638587,27,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDF32,16.35,Fruits and Vegetables,196.4426,OUT013,0.260814685,44.46825834,37,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FDP49,9,Breakfast,56.3614,OUT046,0.262847791,39.33597844,27,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
NCB42,11.8,Health and Hygiene,115.3492,OUT018,0.092714891,40.27268057,15,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
FDP49,9,Breakfast,54.3614,OUT049,0.26305204,26.80295133,25,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DRI11,8.26,Hard Drinks,113.2834,OUT027,0.185034273,47.99654154,39,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
FDU02,13.35,Dairy,230.5352,OUT035,0.320143905,52.42539842,20,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDN22,18.85,Snack Foods,250.8724,OUT013,0.371739528,61.44172849,37,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FDW12,8.315,Baking Goods,144.5444,OUT027,0.188148673,63.74984863,39,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
NCB30,14.6,Household,196.5084,OUT035,0.160306375,39.84052208,20,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
