,ID_store,Type,Weight_grams,Visibility_sqrt,Sales_sqrt,Store_Age,Minimal_Retail_Price,Fat_Content_Encoding
0,OUT049,Dairy,9.3,0.126677942,61.11577538,25.0,249.8092,0.0
1,OUT018,Soft Drinks,5.92,0.138846015,21.0576067,15.0,48.2692,1.0
2,OUT049,Meat,17.5,0.129460708,45.79596052,25.0,141.618,0.0
3,OUT010,Fruits and Vegetables,19.2,0.0,27.06252021,26.0,182.095,1.0
4,OUT013,Household,8.93,0.0,31.53894735,37.0,53.8614,0.0
5,OUT018,Baking Goods,10.395,0.0,23.59255815,15.0,51.4008,1.0
6,OUT013,Snack Foods,13.65,0.112876432,18.53517737,37.0,57.6588,1.0
7,OUT027,Snack Foods,19.0,0.35702921,63.42525995,39.0,107.7622,0.0
8,OUT045,Frozen Foods,16.2,0.129178613,32.81156199,22.0,96.9726,1.0
9,OUT017,Frozen Foods,19.2,0.30732652,68.63333738,17.0,187.8214,1.0
10,OUT049,Fruits and Vegetables,11.8,0.0,38.93618625,25.0,45.5402,0.0
11,OUT046,Dairy,18.5,0.213222356,46.7670076,27.0,144.1102,1.0
12,OUT049,Fruits and Vegetables,15.1,0.316249111,39.86558165,25.0,145.4786,1.0
13,OUT046,Snack Foods,17.6,0.217387507,46.31638587,27.0,119.6782,1.0
14,OUT013,Fruits and Vegetables,16.35,0.260814685,44.46825834,37.0,196.4426,0.0
15,OUT046,Breakfast,9.0,0.262847791,39.33597844,27.0,56.3614,1.0
16,OUT018,Health and Hygiene,11.8,0.092714891,40.27268057,15.0,115.3492,0.0
17,OUT049,Breakfast,9.0,0.26305204,26.80295133,25.0,54.3614,1.0
18,OUT027,Hard Drinks,8.26,0.185034273,47.99654154,39.0,113.2834,0.0
19,OUT035,Dairy,13.35,0.320143905,52.42539842,20.0,230.5352,0.0
20,OUT013,Snack Foods,18.85,0.371739528,61.44172849,37.0,250.8724,1.0
21,OUT027,Baking Goods,8.315,0.188148673,63.74984863,39.0,144.5444,1.0
22,OUT035,Household,14.6,0.160306375,39.84052208,20.0,196.5084,0.0
23,OUT019,Baking Goods,15.5,0.239910396,14.64198074,39.0,107.6938,0.0
24,OUT046,Frozen Foods,13.85,0.160923848,63.85941591,27.0,165.021,1.0
25,OUT017,Household,13.0,0.31604921,28.96390858,17.0,45.906,0.0
26,OUT035,Snack Foods,7.645,0.258250725,32.63862742,20.0,42.3112,1.0
27,OUT013,Hard Drinks,11.65,0.139126317,17.57643877,37.0,39.1164,0.0
28,OUT010,Dairy,5.925,0.401828986,13.35793397,26.0,45.5086,1.0
29,OUT019,Canned,14.5,0.268741141,11.21767356,39.0,43.6454,1.0
30,OUT010,Dairy,19.25,0.412733026,12.79792171,26.0,55.7956,0.0
31,OUT018,Health and Hygiene,18.6,0.284305069,52.36186017,15.0,96.4436,0.0
32,OUT018,Snack Foods,18.7,0.0,55.38958747,15.0,256.6672,0.0
33,OUT045,Breads,17.85,0.0,46.63156442,22.0,93.1436,0.0
34,OUT046,Soft Drinks,17.5,0.312896195,45.66492746,27.0,174.8738,0.0
35,OUT049,Health and Hygiene,10.0,0.298816226,61.57162658,25.0,146.7102,0.0
36,OUT027,Fruits and Vegetables,20.2,0.243950429,52.89320939,39.0,128.0678,1.0
37,OUT018,Soft Drinks,8.85,0.336338956,40.12361399,15.0,122.5388,1.0
38,OUT027,Snack Foods,6.385,0.350872417,19.7018121,39.0,36.9874,1.0
39,OUT027,Snack Foods,15.25,0.162729696,46.69577069,39.0,87.6198,0.0
40,OUT046,Dairy,13.35,0.320174178,58.61337731,27.0,230.6352,0.0
41,OUT013,Meat,9.8,0.163763335,46.37385039,37.0,126.002,0.0
42,OUT049,Snack Foods,13.6,0.343246774,50.27302259,25.0,192.9136,0.0
43,OUT018,Canned,21.35,0.262874173,82.27103257,15.0,259.9278,0.0
44,OUT013,Canned,12.15,0.205615824,19.32650512,37.0,126.5046,1.0
45,OUT010,Dairy,6.42,0.299163711,18.92618292,26.0,178.1002,0.0
46,OUT045,Health and Hygiene,19.6,0.0,49.28324665,22.0,153.3024,0.0
47,OUT045,Canned,10.0,0.160871306,76.25678462,22.0,265.2226,0.0
48,OUT046,Baking Goods,15.85,0.348758829,50.76067375,27.0,60.622,1.0
49,OUT019,Dairy,10.195,0.505366101,27.93416546,39.0,196.8794,1.0
50,OUT046,Health and Hygiene,7.39,0.260345371,55.98737715,27.0,143.8812,0.0
51,OUT013,Frozen Foods,10.195,0.399754741,29.17005999,37.0,141.5154,0.0
52,OUT013,Canned,9.895,0.169401688,28.47708553,37.0,117.0492,1.0
53,OUT017,Fruits and Vegetables,10.895,0.25503251,55.86833092,17.0,196.3794,0.0
54,OUT017,Household,12.15,0.169587774,69.39067372,17.0,151.4708,0.0
55,OUT018,Snack Foods,7.905,0.100265173,79.11080836,15.0,249.0408,0.0
56,OUT045,Household,9.195,0.219447802,46.01351975,22.0,106.1622,0.0
57,OUT049,Hard Drinks,8.365,0.268250251,28.23052603,25.0,38.0506,0.0
58,OUT046,Snack Foods,15.1,0.416510869,70.07335442,27.0,194.511,0.0
59,OUT019,Canned,5.94,0.247148087,29.8692484,39.0,180.0344,0.0
