Month,Canned,Appliances,Snack_Foods,Fruit_Vegetables,Soft_Drinks,Hard_Drinks
1992-01,6938,3657,29589,26788,14996,8964
1992-02,7524,3490,28570,28203,16015,9023
1992-03,8475,3669,29682,31684,17984,10608
1992-04,9401,3527,30228,32547,18872,11630
1992-05,9558,3571,31677,32883,20037,12327
1992-06,9182,3788,30769,34667,18812,12219
1992-07,9103,3930,32402,34077,18575,11658
1992-08,10513,3817,31469,31809,20518,11219
1992-09,9573,3795,30162,32337,18700,11309
1992-10,10254,4014,31407,32947,20970,11605
1992-11,11187,4419,30388,28908,25024,10156
1992-12,18395,7014,34170,29620,37373,10271
1993-01,7502,4105,30039,29054,16097,8947
1993-02,7524,3735,28126,29613,16319,9208
1993-03,8766,4159,30455,35641,19066,11073
1993-04,9867,3974,30820,37254,20271,12374
1993-05,10063,4023,31891,37595,21562,13296
1993-06,9635,4334,31352,39040,20562,13209
1993-07,9794,4447,33029,38923,20679,12523
1993-08,10628,4406,31215,37643,21834,12470
1993-09,10013,4393,30622,36378,20631,12149
1993-10,10346,4460,31223,36354,22628,12220
1993-11,11760,5153,30803,35206,26702,11872
1993-12,18851,7943,34941,35405,39645,11623
1994-01,7280,4508,30251,33029,17084,9725
1994-02,7902,4251,28514,35683,17665,9861
1994-03,9921,4804,31920,44600,21680,12658
1994-04,9869,4520,31208,43430,21420,13937
1994-05,10009,4656,32215,42927,22421,15025
1994-06,9893,5047,32537,44968,22639,14724
1994-07,9735,5000,33288,41468,21852,13602
1994-08,11157,5205,32613,43763,23503,14320
1994-09,10217,5128,31860,42187,22083,13803
1994-10,10730,5319,31846,41913,24098,13894
1994-11,12354,6271,31915,39444,28624,12991
1994-12,20016,9661,36173,38489,42121,12688
1995-01,7518,5480,31039,36800,18537,11086
1995-02,7961,5005,29132,37825,18598,10967
1995-03,9815,5574,32361,47198,22516,13447
1995-04,10168,5016,31792,43638,23023,13907
1995-05,10620,5438,33178,48264,24133,15700
1995-06,10301,5688,33060,50296,24241,15414
1995-07,9784,5565,33520,45544,23517,14174
1995-08,11264,5993,33279,48616,24916,14783
1995-09,10710,5742,32177,44470,23499,13950
1995-10,10439,5833,31830,43925,24447,14616
1995-11,12751,6839,32508,41534,30216,13600
1995-12,20002,10206,36510,39702,42855,12917
1996-01,7684,5826,31733,40774,18968,11587
1996-02,8991,5598,30778,45392,20786,11828
1996-03,10349,6009,33060,51156,23572,13406
1996-04,10570,5615,32158,49404,23755,15667
1996-05,11405,5914,34382,53269,26154,16952
1996-06,10554,5897,33452,50191,25149,16177
1996-07,10202,5891,34426,50106,24073,16228
1996-08,12134,6258,34841,50510,26711,15796
1996-09,10623,5936,32214,46624,24163,14901
1996-10,11250,6074,33524,49156,26366,16190
1996-11,12875,6928,34045,43541,31144,14430
1996-12,19944,10114,36460,41820,44464,13521
1997-01,8194,5809,33175,44005,21164,12505
1997-02,8835,5555,30538,45910,21560,12534
1997-03,10840,6004,34446,52878,25681,15084
1997-04,10131,5681,32637,51308,24490,17183
1997-05,11505,5894,35522,52905,27443,18390
1997-06,10654,5976,33570,52422,26328,17601
1997-07,10734,6218,35396,53165,25897,17455
1997-08,12461,6417,35191,52861,28066,16268
1997-09,10942,6106,33039,49851,24928,16662
1997-10,11635,6171,34401,50341,27906,17319
1997-11,13244,7072,34128,43827,32529,14815
1997-12,21118,10754,37330,45800,45371,15247
1998-01,8800,6471,33440,45243,22487,13303
1998-02,9499,6002,30661,46390,23020,13298
1998-03,10863,6415,33392,54803,26112,16065
1998-04,11825,5947,33926,54934,27434,18342
1998-05,12239,6214,35722,57069,29179,19145
1998-06,11451,6478,34351,59574,27795,19008
1998-07,11633,6661,36390,54406,27392,18249
1998-08,12971,6927,35388,52517,29007,17036
1998-09,11214,6460,34037,51555,26687,17301
1998-10,12384,6468,35421,54167,29357,17934
1998-11,13854,7427,34557,47787,34377,16167
1998-12,22418,11261,39240,49971,48234,16575
1999-01,9237,6636,34300,48047,24585,13949
1999-02,10171,6265,32175,52525,25109,14508
1999-03,12081,6824,35502,62492,29278,17711
1999-04,12386,6303,35121,59528,28895,19541
1999-05,13167,6572,37055,62574,31201,20560
1999-06,12280,6805,35791,63824,30329,20511
1999-07,12461,7053,37981,62813,29811,19363
1999-08,13734,7135,36105,63954,30955,19000
1999-09,12357,6869,35734,59134,29382,18459
1999-10,12948,6778,36164,56986,31357,18709
1999-11,14643,7872,35833,54569,36231,18190
1999-12,24286,12251,41938,55109,53046,17789
2000-01,9447,7202,34190,54082,25958,15381
2000-02,11170,7137,33507,62015,27165,16170
2000-03,12841,7377,36459,69456,31168,19956
2000-04,13124,6711,36321,60834,31170,20044
2000-05,13735,6979,37627,67449,32968,23003
2000-06,12953,6952,37469,67296,32516,21690
2000-07,12500,6909,38160,61915,31535,19639
2000-08,14610,7395,37768,66022,33283,20171
2000-09,13375,7011,36768,60378,31125,18751
2000-10,13369,6763,36614,58515,32672,19482
2000-11,15675,7998,37629,53412,39623,17816
2000-12,24875,11988,42252,51397,55045,16891
2001-01,10060,7022,36332,54751,28627,15734
2001-02,11450,6579,34585,57070,28502,15638
2001-03,13067,6984,38321,66213,32261,18978
2001-04,13362,6137,37122,62174,33370,22735
2001-05,13787,6536,39793,68857,34991,25115
2001-06,12935,6782,39006,67292,34201,22931
2001-07,12600,6758,39182,63657,33188,21200
2001-08,14818,7276,39683,67607,35971,21084
2001-09,12104,6470,37821,56032,32360,18749
2001-10,13218,6687,38375,74222,34581,20965
2001-11,15352,8390,39151,60256,42010,19029
2001-12,24534,12872,43058,56356,57406,17221
2002-01,10344,7193,37662,55799,30066,16519
2002-02,11730,6825,35215,58319,30877,15999
2002-03,13977,7252,39485,64656,35941,19179
2002-04,13195,6512,36629,65420,34282,24464
2002-05,14150,7056,40390,66622,37336,25657
2002-06,13210,7089,38715,65644,36269,23283
2002-07,12873,7045,39773,70738,34750,22545
2002-08,15113,7550,39918,73817,37482,21540
2002-09,12445,6775,37068,60031,33120,20167
2002-10,14006,6950,38461,60823,36322,21694
2002-11,15911,8352,39501,55631,42500,19520
2002-12,25350,12609,42039,58689,57575,17972
2003-01,10804,7022,38602,57364,31549,17198
2003-02,11662,6552,35581,56368,32246,15575
2003-03,13452,6893,38721,66594,36251,20174
2003-04,13691,6354,38478,66968,36040,24295
2003-05,14730,6958,41032,71174,38849,25849
2003-06,13496,7076,38969,69078,37301,25064
2003-07,13854,7221,41076,72642,37214,24447
2003-08,15522,7851,40670,71996,40211,22659
2003-09,13567,7213,38396,64633,35284,22817
2003-10,14601,7377,39828,62411,38677,23976
2003-11,16555,8817,39767,56568,44743,20795
2003-12,26760,13516,43265,61576,60406,20614
2004-01,11790,7626,39978,56235,34374,18081
2004-02,13344,7409,37184,60208,35920,17862
2004-03,14760,7662,39604,72817,38278,24942
2004-04,15058,7059,39857,67574,38899,28261
2004-05,15379,7483,41918,71922,41341,28431
2004-06,14237,7749,40447,69485,38949,28623
2004-07,14667,7828,42512,72936,39651,26162
2004-08,15588,8210,40617,70514,40239,25578
2004-09,14224,7723,40270,68038,37587,25136
2004-10,15570,7713,41050,63129,41192,24833
2004-11,17230,9437,41018,59803,46366,24035
2004-12,28406,14114,45925,66928,64586,23330
2005-01,12046,7965,40592,56755,36247,20056
2005-02,13878,7897,37829,61698,37137,19965
2005-03,15727,8310,42159,74577,41217,26297
2005-04,15708,7576,40917,71728,41008,29822
2005-05,15989,7950,42964,72464,42932,31644
2005-06,15559,8219,42445,79125,42933,30931
2005-07,15218,8211,43688,81735,42335,27368
2005-08,16697,8788,42816,74885,43077,28332
2005-09,14960,8212,41985,63626,40281,27402
2005-10,16509,8215,42420,57772,44135,27708
2005-11,18402,10005,42710,58992,49757,26720
2005-12,30276,14774,47959,64885,67326,24557
2006-01,12893,8775,41168,60247,38667,23330
2006-02,14474,8236,39281,62018,39537,22823
2006-03,16386,8680,42901,76416,43272,29657
2006-04,16848,7790,42455,70287,44249,31112
2006-05,17103,8374,44850,75339,45394,34154
2006-06,16505,8509,44052,74196,44758,31748
2006-07,16275,8451,44899,74707,43941,28225
2006-08,17832,9051,44784,76418,45185,29303
2006-09,16767,8370,43148,66970,42594,26467
2006-10,17253,8058,43709,64170,44707,27821
2006-11,19391,10339,44640,61655,51829,25932
2006-12,31462,15458,49345,65299,70123,23558
2007-01,13927,8712,43498,61048,40930,21936
2007-02,15077,8293,41044,63931,40959,20803
2007-03,18045,8521,45254,77323,46408,27282
2007-04,17096,7657,43562,71195,45014,28882
2007-05,18474,8381,47042,78577,47879,34219
2007-06,17289,8400,46140,73265,47122,30194
2007-07,16883,8443,46416,72619,45847,28511
2007-08,18850,9209,46670,77809,48371,28261
2007-09,16765,8275,44719,67408,43958,25243
2007-10,17614,8345,45553,67717,46285,27380
2007-11,20550,10948,46809,61212,54310,25850
2007-12,30635,15157,51130,63300,71499,22293
2008-01,14173,8680,45794,60169,42183,20551
2008-02,15876,8709,44062,63205,44263,20311
2008-03,17770,8529,47064,70321,47998,23894
2008-04,17103,7958,45386,67336,45611,28686
2008-05,19084,8834,49605,69485,51467,31911
2008-06,17007,8635,47134,62743,49318,29255
2008-07,17369,8807,49156,62742,48330,28610
2008-08,19041,9017,49035,63088,50320,25409
2008-09,15882,8047,46028,54121,44101,25079
2008-10,16796,7789,47737,48293,47601,25728
2008-11,18756,9934,47675,41843,54571,21708
2008-12,26726,13445,50600,46201,69278,20691
2009-01,13387,8404,47103,44342,43461,17600
2009-02,14684,8128,42602,44283,43283,17064
2009-03,15563,7597,45731,50742,46336,21503
2009-04,16337,6930,46450,49549,46602,24970
2009-05,17264,7320,49142,51414,50065,26952
2009-06,15434,7573,46954,52877,47088,26356
2009-07,16007,7543,48915,55733,47096,24004
2009-08,17656,7832,47863,59811,48826,21522
2009-09,15630,7248,46219,46011,44201,21302
2009-10,17053,7073,47895,48457,48508,21265
2009-11,18332,9431,47405,44357,53487,19916
2009-12,27128,12820,52139,49970,69965,19183
2010-01,13216,7639,47072,44566,43853,15348
2010-02,14816,7854,44275,46213,44756,15469
2010-03,17390,7773,48123,60806,48642,21691
2010-04,17042,7162,47050,57767,47749,26688
2010-05,17727,7613,49655,58792,50474,26238
2010-06,16138,7974,47813,57777,48289,25451
2010-07,16842,7960,49732,60194,48616,23100
